Date,Adj Close
9/27/2018,66.802872
9/28/2018,66.686653
10/1/2018,65.621376
10/2/2018,64.168716
10/3/2018,64.585144
10/4/2018,64.711044
10/5/2018,63.994404
10/8/2018,63.248692
10/9/2018,60.633915
10/10/2018,58.329033
10/11/2018,57.922291
10/12/2018,59.626732
10/15/2018,59.907585
10/16/2018,61.844463
10/17/2018,62.454575
10/18/2018,60.401485
10/19/2018,60.604862
10/22/2018,61.534565
10/23/2018,61.001923
10/24/2018,59.181259
10/25/2018,61.069714
10/26/2018,59.5299
10/29/2018,59.07473
10/30/2018,61.244026
10/31/2018,59.481472
11/1/2018,61.679825
11/2/2018,61.863831
11/5/2018,61.883202
11/6/2018,62.561108
11/7/2018,64.100922
11/8/2018,63.63607
11/9/2018,63.887867
11/12/2018,63.684498
11/13/2018,65.447052
11/14/2018,65.088722
11/15/2018,65.572945
11/16/2018,65.844109
11/19/2018,65.4841
11/20/2018,65.211647
11/21/2018,66.671165
11/23/2018,67.537155
11/26/2018,67.040924
11/27/2018,68.841003
11/28/2018,72.723351
11/29/2018,70.971909
11/30/2018,71.283287
12/3/2018,70.874603
12/4/2018,68.140434
12/6/2018,67.731773
12/7/2018,63.187771
12/10/2018,61.767166
12/11/2018,60.745499
12/12/2018,60.346561
12/13/2018,59.684906
12/14/2018,60.619003
12/17/2018,59.636257
12/18/2018,60.969296
12/19/2018,60.356285
12/20/2018,59.042717
12/21/2018,57.738873
12/24/2018,56.026363
12/26/2018,59.149746
12/27/2018,59.101097
12/28/2018,58.682701
12/31/2018,59.208126
1/2/2019,59.86005
1/3/2019,56.551792
1/4/2019,58.381062
1/7/2019,58.497826
1/8/2019,59.013527
1/9/2019,60.502239
1/10/2019,61.689323
1/11/2019,62.409359
1/14/2019,62.623421
1/15/2019,62.545574
1/16/2019,63.148857
1/17/2019,62.681805
1/18/2019,63.109928
1/22/2019,62.234215
1/23/2019,61.990959
1/24/2019,64.005104
1/25/2019,61.767166
1/28/2019,62.788834
1/29/2019,62.81802
1/30/2019,62.915329
1/31/2019,62.224483
2/1/2019,62.623421
2/4/2019,62.740185
2/5/2019,62.993172
2/6/2019,63.071007
2/7/2019,63.469952
2/8/2019,63.508865
2/11/2019,64.511086
2/12/2019,64.890556
2/13/2019,64.900276
2/14/2019,64.773796
2/15/2019,64.871597
2/19/2019,63.15004
2/20/2019,61.956688
2/21/2019,61.487171
2/22/2019,61.03722
2/25/2019,61.379574
2/26/2019,61.565422
2/27/2019,60.626389
2/28/2019,60.352505
3/1/2019,59.97102
3/4/2019,58.20055
3/5/2019,56.518112
3/6/2019,54.610699
3/7/2019,54.728085
3/8/2019,54.405289
3/11/2019,54.209652
3/12/2019,52.908699
3/13/2019,54.806332
3/14/2019,54.278126
3/15/2019,54.542229
3/18/2019,54.591141
3/19/2019,54.884586
3/20/2019,53.98468
3/21/2019,54.014023
3/22/2019,53.065205
3/25/2019,52.429401
3/26/2019,52.732632
3/27/2019,53.789047
3/28/2019,53.965115
3/29/2019,54.894371
4/1/2019,56.068161
4/2/2019,56.870255
4/3/2019,56.527901
4/4/2019,56.557243
4/5/2019,57.261513
4/8/2019,57.05611
4/9/2019,56.576805
4/10/2019,57.496269
4/11/2019,58.405964
4/12/2019,59.305874
4/15/2019,58.748322
4/16/2019,59.638443
4/17/2019,60.039494
4/18/2019,60.323154
4/22/2019,58.983082
4/23/2019,59.560192
4/24/2019,59.472157
4/25/2019,57.877754
4/26/2019,59.296085
4/29/2019,59.217838
